Name,Frequency,Amplitude,PulseWidth,AOA
F,4331.4,-36,1.72,9
F,4332.21,-36,1.72,12
F,4331.105,-36,1.72,15
S1,1426.08,-6,226.09,342
F,4331.105,-36,1.72,0
F,4331.575,-127,1.6,0
F,4331.575,-127,1.6,1
F,4331.575,-39,1.6,1
S1,1426.08,-6,226.09,344
F,4331.575,-39,1.6,3
F,4331.575,-39,1.6,3
F,4331.575,-28,1.6,3
S1,1425.67,-10,4.48,344
S1,1425.865,-10,226.09,344
S1,1376.02,-10,226.09,344
S1,1425.92,-10,226.09,344
S1,1425.9,-10,9.55,344
S1,1425.9,-10,9.55,341
F,4331.4,-28,1.6,3
F,4331.4,-28,1.6,139
F,4331.675,-127,1.6,0
F,4331.675,-127,1.6,328
F,4331.675,-69,1.6,328
S1,1425.9,-10,9.55,338
F,4331.675,-61,1.6,328
S1,1425.98,-7,226.12,338
S1,1375.57,-7,226.12,338
S1,1426.08,-6,226.12,338
F,4331.675,-55,1.6,328
F,4331.675,-55,1.6,180
S1,1426.08,-6,226.12,335
S1,1426.08,-6,226.12,304
S1,1425.885,-7,226.12,194
S1,1425.94,-6,226.12,194
S1,1425.95,-6,4.3,194
S1,1425.95,-6,4.3,191
F,4331.44,-127,1.6,0
F,4331.44,-127,1.6,26
F,4331.44,-51,1.6,26
F,4331.38,-50,1.6,23
F,4331.145,-48,1.6,0
F,4331.39,-127,1.72,0
F,4331.39,-127,1.72,13
F,4331.39,-47,1.72,13
F,4331.39,-45,1.72,17
F,4331.39,-45,1.72,17
F,4331.05,-45,1.72,14
F,4331.4,-45,1.72,14
S1,1425.93,-52,4.3,191
S1,1426.145,-52,225.79,191
F,4331.38,-45,1.72,354
F,4330.53,-41,1.72,354
S1,1426.145,-52,225.79,188
F,4331.42,-41,1.72,351
F,4331.42,-41,1.72,351
F,4331.165,-41,1.72,0
F,4331.38,-127,1.57,0
S1,1426.1,-10,225.79,188
F,4331.38,-127,1.57,226
F,4331.38,-80,1.57,226
F,4330.91,-16,1.57,226
F,4330.705,-12,1.57,228
S1,1426.1,-10,225.79,185
F,4331.4,-12,1.57,0
F,4331.225,-127,1.93,0
F,4331.225,-127,1.93,42
F,4331.225,-45,1.93,42
F,4331.41,-43,1.93,49
F,4331.4,-43,1.93,0
S1,1425.725,-9,4.39,185
F,4331.135,-127,1.84,0
F,4331.41,-127,1.84,351
F,4331.41,-38,1.84,351
S1,1425.725,-9,4.39,185
F,4331.4,-38,1.84,347
F,4331.4,-38,1.84,347
F,4331.4,-38,1.84,347
S1,1425.95,-9,4.39,185
S1,1425.95,-9,4.39,182
F,4331.4,-38,1.84,0
F,4331.36,-127,1.84,0
F,4331.4,-127,1.84,176
F,4331.4,-69,1.84,176
F,4331.4,-19,1.84,176
F,4331.4,-19,1.84,0
F,4331.36,-127,1.84,0
S1,1425.895,-9,4.39,182
F,4331.4,-56,1.84,317
F,4331.4,-46,1.84,317
F,4331.39,-43,1.84,319
F,4331.39,-43,1.84,319
F,4331.39,-43,1.84,0
F,4331.4,-127,1.66,0
F,4331.4,-48,1.66,133
S1,1425.875,-9,4.39,184
F,4330.865,-16,1.66,133
